tconst,genres
tt0080936,Comedy
tt0080936,Drama
tt0080950,Comedy
tt0080950,Drama
tt0080951,Comedy
tt0080951,Drama
tt0080951,Romance
tt0080951,Comedy
tt0080951,Drama
tt0080951,Romance
tt0080957,Drama
tt0080962,Action
tt0080962,Drama
tt0080962,Sci-Fi
tt0080997,Thriller
tt0081027,Horror
tt0081031,Adventure
tt0081031,Family
tt0081055,Documentary
tt0081059,Biography
tt0081059,Drama
tt0081059,History
tt0081070,Crime
tt0081070,Drama
tt0081070,Mystery
tt0081070,Crime
tt0081070,Drama
tt0081070,Mystery
tt0081070,Crime
tt0081070,Drama
tt0081070,Mystery
tt0081071,Biography
tt0081071,Crime
tt0081071,Drama
tt0081071,Biography
tt0081071,Crime
tt0081071,Drama
tt0081076,Drama
tt0081076,Romance
tt0081080,Comedy
tt0081109,Biography
tt0081109,Drama
tt0081109,History
tt0081110,Comedy
tt0081110,Crime
tt0081110,Mystery
tt0081145,Comedy
tt0081145,Crime
tt0081145,Drama
tt0081150,Comedy
tt0081150,Drama
tt0081163,Crime
tt0081163,Mystery
tt0081163,Thriller
tt0081176,Comedy
tt0081176,Drama
tt0081176,Romance
tt0081176,Comedy
tt0081176,Drama
tt0081176,Romance
tt0081178,Comedy
tt0081178,Horror
tt0081178,Musical
tt0081182,Drama
tt0081182,Sci-Fi
tt0081182,Thriller
tt0081186,Comedy
tt0081186,Horror
tt0081186,Thriller
tt0081186,Comedy
tt0081186,Horror
tt0081186,Thriller
tt0081187,Adventure
tt0081187,Drama
tt0081187,Western
tt0081203,Horror
tt0081203,Mystery
tt0081203,Sci-Fi
tt0081203,Horror
tt0081203,Mystery
tt0081203,Sci-Fi
tt0081204,Documentary
tt0081206,Documentary
tt0081206,Documentary
tt0081206,Documentary
tt0081228,Drama
tt0081230,Action
tt0081230,Crime
tt0081230,Drama
tt0081230,Action
tt0081230,Crime
tt0081230,Drama
tt0081237,Comedy
tt0081237,Drama
tt0081237,Horror
tt0081237,Comedy
tt0081237,Drama
tt0081237,Horror
tt0081249,Action
tt0081249,Comedy
tt0081249,Crime
tt0081250,Drama
tt0081250,Horror
tt0081250,Mystery
tt0081250,Drama
tt0081250,Horror
tt0081250,Mystery
tt0081259,Action
tt0081259,Drama
tt0081259,Romance
tt0081259,Action
tt0081259,Drama
tt0081259,Romance
tt0081276,Comedy
tt0081283,Drama
tt0081291,Drama
tt0081314,Crime
tt0081314,Horror
tt0081314,Sci-Fi
tt0081330,Drama
tt0081339,Crime
tt0081339,Drama
tt0081339,Mystery
